Features,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT2032,7.546398345768395,3.304205400009661,3.5790272576975304,2.9795922445243717,0.0,0.0,3.2518714472871886,3.173156219473969
FT2044,5.831861466995642,0.0,3.5208257492972086,0.0,0.0,0.0,3.544834304141241,3.563503846163831
FT2062,6.547635570756141,6.250726226768655,6.196489691287162,6.193764622567317,3.9793942777159277,6.361401510879783,4.0335390959172805,4.423461437277992
FT2065,6.284232220577121,4.295146274716102,3.781798372822308,3.8238656121129124,3.417461701822258,6.3851342554979,4.458890459683834,3.5801812735309304
FT2071,6.175757192532765,0.0,4.521807606126274,0.0,4.097282472526899,4.659154424210448,3.8002214402528436,0.0
FT2085,0.0,6.104787658737035,3.8797651775346607,0.0,5.95843534229981,6.5953183739147105,3.648776798395601,4.047424248412897
FT2092,6.135514953080929,0.0,3.496258327196761,0.0,0.0,0.0,0.0,0.0
FT2093,6.372327222292145,0.0,3.606016830927712,3.0992905987206907,3.277050930834539,2.6557671035307795,3.1729244138755455,3.2370152843801425
FT2108,5.42794213212296,0.0,4.876629115079141,4.894687270826621,5.493441655853606,5.671342833972135,4.658344704507105,4.788073222730009
FT2109,6.699786311862763,3.287234841314637,4.45485568708541,0.0,0.0,3.366404956865058,0.0,3.3753270686964587
FT2129,6.0767309609148095,3.258690001300534,3.950737134519643,3.128131312122619,0.0,3.6451623033327505,0.0,3.570746260690864
FT2133,6.010161861599338,0.0,5.210025567546291,0.0,0.0,0.0,0.0,0.0
FT2200,5.872048373939382,3.5973078363282474,4.122646731831792,4.167625597930373,4.27370338870858,4.453737081423136,3.666967934983449,0.0
FT2201,6.17771342250822,0.0,5.10330218995996,4.290628043916024,3.499994153784979,4.407890028459943,4.531538995629594,4.852456226544608
FT2220,6.176325031872268,0.0,0.0,3.694435266545547,0.0,6.032998353124191,0.0,0.0
FT2226,6.623112263806712,0.0,3.5264795942783937,0.0,0.0,3.018361122989595,3.2071777739845473,0.0
FT2235,6.196207893702524,0.0,5.267658657015758,5.115845463666895,5.190787587625786,5.22500001141696,5.380318732647561,5.493882369460225
FT2242,6.3680402717499245,4.403969582799584,4.751364027936048,4.388573027583101,3.6745092625009077,4.628513928804548,4.378910273560822,0.0
FT2265,7.105408102073286,3.5005307889471773,3.7853020412185177,3.6220155323944874,3.118335164371025,3.639221331001618,0.0,3.387238598471386
FT2266,5.856800177825807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2268,7.014014701196512,3.925004219750239,5.000850996035488,4.389648830005053,0.0,4.260099933089175,5.412694727428382,4.733309276120162
FT2283,6.202764405699116,0.0,4.515780405232404,0.0,0.0,0.0,4.973695299713753,5.224583417867887
FT2287,5.640913070189165,0.0,4.461440484635262,4.14398395300421,0.0,4.3017214438209646,4.320806628020459,4.2249898809535225
FT2291,6.081493993022101,3.1245047324880795,0.0,0.0,0.0,0.0,0.0,0.0
FT2299,5.6938782131428685,0.0,3.7377917361966357,3.4993932723570143,3.4969934203428497,5.994202249362002,3.8750764082574243,4.013107380905255
FT2319,5.83067884981713,0.0,0.0,0.0,0.0,3.671398882280571,0.0,0.0
FT2327,6.009960150591148,6.0230489842441415,3.36369962026177,0.0,3.666814483073769,5.971844974513567,3.8448755019694203,0.0
FT2337,6.248081547802744,0.0,4.902438344452055,3.5143998956820592,3.5451796884344664,3.9729812935388154,4.387271398384916,4.65318857115471
FT2339,6.48293365739409,0.0,5.70948428185527,5.403522791391224,5.410422278739016,5.813265203267272,5.774856358560223,5.740518907877241
FT2348,5.963236480182816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2351,6.386640404024308,3.494851578940231,0.0,3.6499465900918113,0.0,3.5922188122541576,0.0,3.633751253454206
FT2353,6.367014061716775,3.0476309881925485,5.319944377343033,3.014052182901608,0.0,2.947422694052077,0.0,3.1876360063264713
FT2358,5.974367467966601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2361,6.281561853600763,0.0,5.441054911206288,5.294770799855559,5.3014643960135555,5.444135979185685,5.550025261372966,5.534092369215609
FT2381,6.594315198897806,3.8635845679162504,5.951967873026065,0.0,4.900827195127206,3.9599909988055186,4.383249835721063,0.0
FT2385,5.374195248662894,0.0,6.183225054293655,4.649885893914206,6.485813881690187,6.219463996755157,6.247086824647731,4.840699166368786
FT2410,6.322231389465441,5.751442406449259,3.4589226503577564,4.456938714983398,6.63851220360912,6.182788892565319,4.449896880639155,6.213959216458815
FT2411,6.157834137077491,4.797362990260201,3.8098215702200418,0.0,4.023939243015004,6.088228226153746,4.3165094795941386,4.178760096592817
FT2413,5.8163289480367215,5.772085724965662,3.999488902623262,3.7641067530253918,5.48161340037499,6.656110185582883,4.069010242675168,4.09663258873323
FT2423,5.747318342156843,6.390303267436244,6.319997017895465,0.0,6.339573028337381,6.329584392661775,6.05362122709852,6.365426488206415
FT2441,6.719518640929529,0.0,0.0,0.0,0.0,0.0,3.8772881128828747,3.9168890025060494
FT2442,6.292453233518284,0.0,0.0,0.0,0.0,5.673146390894594,0.0,0.0
FT2446,6.176094559291964,3.6931473613109653,4.5153303158693,3.9430415144416764,3.111005341607756,4.062514627058556,0.0,4.263455849381649
FT2447,6.433403439602447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2458,6.2030346649747585,0.0,0.0,0.0,0.0,3.7058800793745577,0.0,0.0
FT2472,6.027984003666466,0.0,3.39559025151682,0.0,0.0,0.0,0.0,0.0
FT2476,5.85541293841434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2480,6.082607309018848,4.515572533240863,0.0,4.136855150513035,0.0,4.393636507562252,4.12185008231793,4.493200949614695
FT2484,5.773687962432456,0.0,0.0,0.0,0.0,5.511408780641975,0.0,0.0
FT2512,0.0,6.290468920474741,3.4093268744951297,3.7930368785239055,3.723901937632786,6.283689508152526,3.8413656117968937,3.6704386049310687
FT2518,6.925801732509148,0.0,3.576412570074005,3.602911664211392,0.0,3.5016418289652216,0.0,0.0
FT2527,3.2088701679386293,5.842668518354246,5.983210675742821,6.085556165411619,6.309495790662004,5.94300746134306,6.152189100648887,6.174886783724472
FT2540,5.762926079130623,4.637881484618281,0.0,0.0,3.3600940724218504,0.0,3.265391302964603,0.0
FT2544,5.450573026707161,5.583185272369567,4.507247045707398,4.716246096837415,4.088968607023615,0.0,6.529014984427676,5.0512501573063
FT2550,0.0,5.5937454724618485,5.905080507926517,5.957730150243363,5.547617295780378,5.3685690914152335,6.5292317246289295,5.797472178442356
FT2552,6.0931003008900975,3.881385881694807,3.320606013926168,0.0,0.0,0.0,0.0,0.0
