Features,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Litter,peat,peat_litter,ms_level,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT4206,958.398735791248,958.398735791248,958.398735791248,2184.92620300537,2184.92620300537,2184.92620300537,1,1,0,0,1,3967113.70652056,0,10161.7973011985,0,4269.7454544847,15368.8986938318,54119.120882957,51089.7391102941
FT4207,958.549111406197,958.549111406197,958.549111406197,3056.43582966171,3056.43582966171,3056.43582966171,1,1,0,0,1,267981.848320313,0,1525.71413750251,2498.20002310434,0,1903.95589918318,0,0
FT4208,958.585959132881,958.585959132881,958.585959132881,3392.65183717668,3392.65183717668,3392.65183717668,1,1,0,0,1,3068607.39542383,1003.6447421992,72112.8997949046,9973.17136862381,1276.91972015548,18749.4456643849,5823.51148025081,14215.8937777753
FT4209,959.345315354811,959.322982462047,959.367648247576,137.666536649042,136.217679056572,139.115394241513,2,1,0,0,1,1077066.09914272,0,0,0,0,0,0,0
FT4210,959.402734173756,959.402734173756,959.402734173756,2184.92620300537,2184.92620300537,2184.92620300537,1,1,0,0,1,1009295.11440409,0,0,0,1304.30247737315,9794.83975196382,4282.06136775623,0
FT4211,959.59782003755,959.597650325302,959.597979847606,3557.89117622391,3541.9199545672,3561.85863343114,4,1,0,2,1,86282638.382071,182195.490100961,3126092.31262533,639260.715738444,221329.727956661,1418624.73754664,462860.055836292,863070.956421746
FT4212,960.30722261827,960.30722261827,960.30722261827,136.217679056572,136.217679056572,136.217679056572,1,1,0,0,1,307301.201070638,0,0,0,0,0,0,5638.19794657085
FT4213,960.54456016537,960.54456016537,960.54456016537,2892.77672943999,2892.77672943999,2892.77672943999,1,1,0,0,1,176141.201809303,0,0,0,2465.7122027801,0,0,0
FT4214,960.601184051979,960.601058162372,960.601421566074,3555.73941165781,3539.0195881927,3561.85863343114,3,1,0,1,1,49564950.4980984,98190.1745081334,1698928.64825033,333022.429669915,113735.702123821,760810.866170682,240160.833031556,466636.420187601
FT4215,961.305824432974,961.289288390694,961.322360475254,1190.00685655837,1164.75342398458,1215.26028913217,2,1,0,1,1,94686.6093017587,0,6648.70682852689,6072.77185310745,0,492058.663375289,0,0
FT4216,961.297183661707,961.297183661707,961.297183661707,136.217679056572,136.217679056572,136.217679056572,1,1,0,0,1,3781411.42712654,148048.674138285,109134.003841382,129342.389130952,119416.688799904,374842.654032771,136411.418265084,146430.5266526
FT4217,961.604004971786,961.603968042323,961.604041901249,3548.82968311251,3541.9199545672,3555.73941165781,2,1,0,0,1,12316565.6959751,17623.7254899026,322456.697381943,65784.2777730418,18843.2339425804,127116.697032011,55167.1556439017,64111.3834672
FT4218,961.577363245557,961.577363245557,961.577363245557,3135.24610778132,3135.24610778132,3135.24610778132,1,1,0,0,1,368809.275186035,0,29092.0876685162,0,0,0,1364.72075474957,3047.85168105311
FT4219,962.294561261128,962.294561261128,962.294561261128,136.217679056572,136.217679056572,136.217679056572,1,1,0,0,1,1378626.67859849,50195.7218544674,16875.4457158258,27421.3388994712,17363.4627317875,109271.552397818,32733.1176677256,22123.3685380259
FT4220,962.55270914837,962.498545782012,962.606872514729,3573.59237869232,3552.28790457399,3594.89685281065,2,1,1,0,1,2396345.81093872,1671561.16940042,0,0,0,858.612479128729,0,0
FT4221,962.769581748493,962.732179857529,962.770131763606,3088.36261522018,3037.74755507375,3090.20475102095,8,1,1,5,1,4613293.80776362,171665.871642732,682780.094796138,302916.110460489,197864.477924107,303972.451586247,118386.245930722,198273.630312092
FT4222,963.00023562482,963.00023562482,963.00023562482,3594.89685281065,3594.89685281065,3594.89685281065,1,0,1,0,1,10108.1188530282,1599131.80415689,0,0,1140.58088266704,1198.83919007323,0,1538.75388108831
FT4223,963.297163598469,963.297163598469,963.297163598469,667.509313140001,667.509313140001,667.509313140001,1,1,0,0,1,569676.683062499,65736.7860721684,85136.668328067,121223.19321712,96634.9764891049,126835.093632344,153083.541696752,131231.381139712
FT4224,963.446710608325,963.446710608325,963.446710608325,2737.96498317459,2737.96498317459,2737.96498317459,1,1,0,0,1,559791.663522522,3053.96991559927,16509.2019113122,1473.2567621464,1926.68794425304,4593.70213222849,4127.74844695985,4174.06949705281
FT4225,963.595086195051,963.595086195051,963.595086195051,3018.02763978972,3018.02763978972,3018.02763978972,1,1,0,0,1,992639.703189411,1098.04809919074,46611.1676116613,12214.2390222586,0,0,7882.1785515514,0
FT4226,963.772885664951,963.772849284481,963.773670994781,3087.30054253525,3087.10266939719,3088.64496246957,5,1,0,4,1,2734496.24201657,117121.208627248,397830.699917878,142423.216680908,118368.034613909,187228.666348568,67219.9219089394,120547.633845126
FT4227,963.798831154962,963.798831154962,963.798831154962,667.509313140001,667.509313140001,667.509313140001,1,1,0,0,1,343653.657298828,52740.8652645952,68392.6536423779,81333.3266417337,65125.2525295658,89384.2798801759,124106.494442029,130668.967272372
FT4228,964.598212488919,964.598212488919,964.598212488919,3018.02763978972,3018.02763978972,3018.02763978972,1,1,0,0,1,499884.938642576,1207.63619912141,22644.4562526811,0,2399.51703955003,2141.0239379198,4144.96884506017,1875.55434349628
FT4229,964.63522138549,964.63522138549,964.63522138549,2872.84306545271,2872.84306545271,2872.84306545271,1,1,0,0,1,455978.331524195,0,0,0,0,0,0,0
FT4230,964.777459460867,964.777459460867,964.777459460867,3088.4313819864,3088.4313819864,3088.4313819864,1,1,0,0,1,802029.789680786,30526.9324933312,117838.142074339,51804.0378167465,34152.2957197212,58760.632965807,15125.5337446147,34682.5902564841
FT4231,965.638656347492,965.638656347492,965.638656347492,2872.84306545271,2872.84306545271,2872.84306545271,1,1,0,0,1,240330.417193607,0,0,0,0,0,0,0
FT4232,965.693268842521,965.693268842521,965.693268842521,3043.61261960379,3043.61261960379,3043.61261960379,1,1,0,0,1,192756.378129883,1778.43212706305,18216.3610056969,4788.97491840348,847.522417332149,5600.88608283367,0,7893.92390246399
FT4233,966.303042452135,966.303042452135,966.303042452135,1358.10801276936,1358.10801276936,1358.10801276936,1,1,0,0,1,282929.387877604,0,0,0,0,0,0,0
FT4234,966.458286985129,966.458286985129,966.458286985129,1556.70774553662,1556.70774553662,1556.70774553662,1,1,0,0,1,344798.02248047,0,0,0,0,0,0,0
FT4235,967.530579764216,967.530579764216,967.530579764216,3067.00338120852,3067.00338120852,3067.00338120852,1,1,0,0,1,287259.573741372,2824.38889906462,1889.06642097879,0,0,1966.39273717525,0,0
