"","name","xend","yend","coord","cos2","contrib","PC1_Vector_corr","PC2_Vector_corr","abs_PC1_Vector_corr","abs_PC2_Vector_corr"
"260","FT260",-13.8009976395513,-0.825930501128706,0.995820319870778,0.995820319870778,0.204182162578154,-0.996125749313993,-0.0596138526218069,0.996125749313993,0.0596138526218069
"261","FT261",-13.8318662123378,-0.0656571524934628,0.996732718505183,0.996732718505183,0.204369240028361,-0.998353775214749,-0.00473898930595718,0.998353775214749,0.00473898930595718
"262","FT262",-13.712299482147,0.697084657811923,0.982084526545789,0.982084526545789,0.201365787043473,-0.989723710793687,0.0503140421608511,0.989723710793687,0.0503140421608511
"263","FT263",-13.7082594413668,0.631838694057972,0.981055690866647,0.981055690866647,0.20115483543934,-0.989432109508431,0.0456047315565323,0.989432109508431,0.0456047315565323
"264","FT264",-13.8242293511453,0.394496954600595,0.996420719781577,0.996420719781577,0.204305268071939,-0.997802563318595,0.0284739252021481,0.997802563318595,0.0284739252021481
"265","FT265",-13.7810243177923,0.5356384524624,0.990891185165195,0.990891185165195,0.203171496935224,-0.994684118743284,0.0386612090484963,0.994684118743284,0.0386612090484963
"266","FT266",-13.8421930563935,-0.109564600220199,0.998261638454352,0.998261638454352,0.204682728491492,-0.999099144175874,-0.00790813261063511,0.999099144175874,0.00790813261063511
"267","FT267",-13.7796054093739,0.449417281739863,0.990244988869189,0.990244988869189,0.203039001389054,-0.994581705044767,0.0324379539957906,0.994581705044767,0.0324379539957906
"268","FT268",-13.8445209288575,-0.0381630455203737,0.998542454267354,0.998542454267354,0.204740306730096,-0.999267164906193,-0.00275452494869945,0.999267164906193,0.00275452494869945
"269","FT269",-0.499153304990026,-13.177882604705,0.905985603246806,0.905985603246806,0.18576252768131,-0.0360277911019129,-0.951150672351717,0.0360277911019129,0.951150672351717
"270","FT270",-13.8385283297697,-0.170674718340459,0.997822378530113,0.997822378530113,0.204592663005304,-0.998834632243509,-0.0123189269454416,0.998834632243509,0.0123189269454416
"271","FT271",9.02967332755476,10.0333612318958,0.949213046898591,0.949213046898591,0.194625846446178,0.651742022163226,0.724186014394907,0.651742022163226,0.724186014394907
"272","FT272",-13.4602685767014,2.45418138894299,0.975253403682891,0.975253403682891,0.199965139345136,-0.971532672645989,0.177137431572865,0.971532672645989,0.177137431572865
"273","FT273",-13.8384678279621,-0.170202535110594,0.997812816426739,0.997812816426739,0.204590702399654,-0.998830265355694,-0.0122848457952272,0.998830265355694,0.0122848457952272
"274","FT274",-13.4839825026302,2.37810110406481,0.976666843254876,0.976666843254876,0.200254949808653,-0.973244291823967,0.171646123425322,0.973244291823967,0.171646123425322
"275","FT275",-13.835512540185,-0.0672162762701301,0.997259368409174,0.997259368409174,0.20447722388265,-0.998616959163758,-0.00485152344159496,0.998616959163758,0.00485152344159496
"276","FT276",-13.8383569525224,-0.170820824437227,0.997797928178184,0.997797928178184,0.204587649725666,-0.998822262609569,-0.0123294725631516,0.998822262609569,0.0123294725631516
"277","FT277",10.1760792746389,-7.88871388637001,0.863676338467207,0.863676338467207,0.177087471541754,0.734487089794025,-0.569390071386138,0.734487089794025,0.569390071386138
"278","FT278",-13.7497022758887,0.516752832484627,0.986295277558316,0.986295277558316,0.202229155896929,-0.992423362435941,0.0372980864074413,0.992423362435941,0.0372980864074413
"279","FT279",-11.3732626773983,-5.66024563528151,0.8407804492924,0.8407804492924,0.172392917642242,-0.820897162839932,-0.408544119201036,0.820897162839932,0.408544119201036
"280","FT280",-13.8494698507741,0.0148697779633666,0.999250027482182,0.999250027482182,0.204885386948187,-0.999624367239038,0.00107326796966055,0.999624367239038,0.00107326796966055
"281","FT281",-13.420696863457,2.7714851689392,0.978350000286395,0.978350000286395,0.200600062913695,-0.968676473149644,0.200039722687174,0.968676473149644,0.200039722687174
"282","FT282",-13.8428482612725,-0.0959826060650903,0.998341594034885,0.998341594034885,0.204699122516616,-0.999146435427429,-0.00692781405263732,0.999146435427429,0.00692781405263732
"283","FT283",-13.8291060844759,0.191532183366841,0.996503629431443,0.996503629431443,0.20432226779696,-0.998154555237581,0.0138243730386032,0.998154555237581,0.0138243730386032
"284","FT284",-13.7703672157941,-1.13079936624898,0.994528452208266,0.994528452208266,0.203917279116918,-0.993914912488005,-0.0816186188453818,0.993914912488005,0.0816186188453818
"285","FT285",-13.8381071862714,-0.158929499815479,0.997741487947688,0.997741487947688,0.204576077268176,-0.998804235029208,-0.0114711828250801,0.998804235029208,0.0114711828250801
