Features,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT308,7.101367036013915,3.750969872084931,5.358316168206903,4.689322417353601,3.9835784005759662,4.786273413712917,5.195206660709574,5.211088545868872
FT311,6.600312634070137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT317,6.1091495413461665,0.0,0.0,0.0,0.0,0.0,4.257879830017278,0.0
FT331,6.395656155787019,6.101427401626978,0.0,3.827339174141789,4.224529216050441,6.4857491700170815,4.519655122183914,4.001572143342342
FT334,6.824271736370795,0.0,4.368893920487184,3.5285884109992836,4.480843237782175,3.570138184951874,3.60752278501572,4.313683898024491
FT335,7.494270475555543,7.155192570618588,4.8964453968205905,5.325332952659351,5.082191062426414,5.230721232720892,5.28925004764775,5.33958019026437
FT342,6.461869282537076,0.0,3.8221557939785265,0.0,3.435898478388033,4.066556045284283,3.8854527833527204,4.455005270171885
FT358,6.475840733109413,0.0,4.60487488049577,3.929237733883481,0.0,4.0123198514748095,3.730770530650871,4.238454022095796
FT376,6.0764153875299725,6.152323715955641,6.251151372767357,6.160624923374232,5.521002427800723,6.526701892818826,3.9711304680081216,4.0386557576932525
FT380,6.539105218512508,0.0,3.8118715573691584,0.0,0.0,0.0,3.0854376757340756,3.6407047086998245
FT382,6.6965967506409925,0.0,4.866412963976027,3.7888181586563365,0.0,4.486865693067217,4.6301890877934895,4.368796519920028
FT386,5.520685748816892,7.9528513911684104,0.0,5.8642684450537095,5.370662305535865,4.733922665266101,5.346998377034021,4.937999271088309
FT387,6.465114990579236,3.417282778945252,4.373731087941543,3.8454964310821103,0.0,3.682272296318557,3.7699322722895507,4.283750552414407
FT389,6.663476240589412,3.6511884423065455,4.407968417480458,3.9083745423510305,0.0,4.040237428557456,3.8183772228329174,4.360625124078956
FT399,6.358091349064866,4.887457709050957,5.102505113791746,5.044339130369331,0.0,4.357073772665354,0.0,0.0
FT412,6.512396815272557,6.263659842643875,4.056114645361969,3.780550597571338,5.769560826670824,6.980098307963184,4.383530944793104,4.156364702602348
FT427,7.207594594924775,4.010234472062132,4.526447045001218,4.177560132915307,3.574158812072024,4.2023488806718445,4.136089981241181,4.500068101891075
FT429,6.496073344447096,0.0,4.8305616217745735,4.192735071705362,0.0,3.821880660382115,4.143326400756717,4.482786352759845
FT431,6.126576534379423,3.7542522160698057,0.0,0.0,0.0,0.0,0.0,0.0
FT435,6.416429768233014,0.0,0.0,0.0,0.0,0.0,0.0,3.679152415168662
FT436,7.36408597573885,4.3971620808701815,4.587040736605637,4.374630033677576,3.671613252384596,4.2332423613709915,4.223942675890742,4.644412851602176
FT446,7.036802116789095,3.6904330650072366,3.4149341719012143,0.0,0.0,3.809732834464661,0.0,3.419829536918461
FT451,6.811740903798727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT457,6.374140432668565,0.0,0.0,0.0,0.0,0.0,0.0,3.2482442141356342
FT458,6.863429368322706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT467,7.2720347093524405,3.6987294589168247,5.276589201449703,4.542646849951297,3.925905909992525,4.537323919415511,4.39343279664887,4.758186861278878
FT471,6.856211629155146,0.0,4.621027673631774,3.5498349552065998,3.916705612303288,4.705817544099068,4.981162571618843,5.0663453967467955
FT480,6.366828342721637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT491,6.965512069006893,0.0,4.160181631063051,0.0,0.0,3.4051520726371267,0.0,3.783378673681968
FT492,6.358662825755512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT495,6.475829758438178,3.609844706919157,5.343613510650478,4.647402345229712,2.9946912772597893,4.654602028421779,4.596118807921587,4.817576696801678
FT496,6.988877671310755,2.976455018901994,0.0,3.825277409792516,0.0,3.964836089194101,0.0,0.0
FT498,6.473465719448374,0.0,3.397205511493568,3.174318334682685,0.0,0.0,0.0,0.0
FT501,6.8399542923580245,3.211154252807563,4.842515454538949,4.120657915421663,3.5877382009306693,4.004002879438928,3.9833406785519494,4.389038907777199
FT511,8.112858747936437,5.749404213840482,5.7152179130699645,5.861874707917762,4.568349509009137,5.915697070904305,0.0,0.0
FT516,6.695888324109266,0.0,4.370181349072459,0.0,0.0,3.171994732006925,0.0,3.4017063930001226
FT520,6.55275587554508,0.0,0.0,0.0,3.9310952022551726,0.0,3.8607907117449147,4.3283512061149425
FT521,6.339755105419523,4.270546600035009,4.008543605514611,0.0,0.0,4.22291556767004,0.0,0.0
FT522,6.741626921282628,0.0,0.0,0.0,3.96897743911823,0.0,0.0,4.8639371477210185
FT524,7.250008187873687,6.251121905328556,6.363692514966692,0.0,4.488346181384148,6.980706150671674,0.0,4.201780306018889
FT526,7.533458465871517,4.031640156040232,0.0,0.0,0.0,0.0,4.41992795425758,5.624202317704355
