"","BNC","Bog_T0","III_Bog_N1","III_Bog_N2","II_Bog_N1","II_Bog_N2","I_Bog_N1","I_Bog_N2"
"FT0792",302818.330261226,9256.68059886351,33161.784870768,16697.1099583948,31004.0115924863,30953.0930535936,10787.2399379228,24540.3925229539
"FT0793",0,1192693.17135184,618143.683735655,146265.516445314,7484.82121255903,0,1345493.03629297,0
"FT0794",198216.896769219,166726.159639628,265239.16971943,170135.005341023,156886.897782644,242993.468697557,1028515.19040528,1172215.33872803
"FT0795",3992210.04040541,602205.905861102,172113.461528164,204263.940228833,278096.196221748,282767.358189137,686268.168946533,295334.061279398
"FT0796",59682.5327834106,641099.381552084,272874.668646063,254840.442719709,417699.556669303,284334.583819381,219121.38826781,245199.554500828
"FT0797",967943.537468818,122979.337816751,29565.3502423996,40258.1749060919,57066.5819870559,70278.3037665179,69324.8373547264,57602.138981409
"FT0798",120437.638335498,486997.063511869,209456.694316405,317320.24262257,557048.687109373,407663.586627295,338464.905912642,412439.321398735
"FT0799",492882.280127345,530656.031479782,1453567.70054571,1288960.84685547,437808.905547726,790277.634279779,681841.467479985,689974.486766196
"FT0800",665120.652239118,189922.819006345,314438.19862508,474982.955465268,6799775.43909555,1009861.20455879,2100013.08577009,1144467.20878523
"FT0801",698790.284750002,27154.0139065483,78990.8619015706,43473.355095454,102581.404924545,103661.49058614,34392.8468074502,67785.501707647
"FT0802",44670.7359409703,977019.777253223,1055387.04711563,929409.278301172,1143312.49747867,1776766.91225119,1172127.1367949,1151475.13323991
"FT0803",835161.344565173,112454.82334175,3460.00157171888,14528.7010836811,19666.8481968801,24302.6114888552,139406.909490684,32135.5231222495
"FT0804",173193.686957854,49788.6477866916,83871.0891344617,128022.661688754,1767031.40325721,267539.89239624,516184.74174456,228217.060363767
"FT0805",133742.288331299,3061.34358709148,16037.6525936394,12666.0241714398,22049.5965978891,22076.9697688758,6002.94592262985,15049.392566013
"FT0806",30011.8240761196,368577.299446472,287372.342589828,274898.456597346,387144.307471963,270329.677121282,238300.263821226,255473.777197986
"FT0807",698577.067641912,555343.866609827,1757944.10027343,1361769.58656759,153139.351534597,880840.437336779,711778.469018553,614129.669030271
"FT0808",329066.875312499,8912.5309093808,9711.16146500413,9013.81268856423,5307.71746749969,11301.6618045335,11432.554097471,2995.25215921526
"FT0809",221596.956243489,14378.3814931125,51266.5106213443,27959.6201714947,27021.0230212464,29228.1717347078,13132.8854980922,28208.2790266239
"FT0810",336211.568168334,0,1964.97205204324,1405.15504383416,0,0,0,0
"FT0811",873998.314406007,10486.1057935712,0,97381.5700128906,5124.21642418931,14294.1547878942,0,3358.95013096702
"FT0812",3366678.36987872,913579.726732033,2672.06332839836,0,0,0,0,0
"FT0813",65400.8868665308,0,199147.059961537,300021.178029576,251416.967355078,251998.64027573,460779.868433881,438693.692878417
"FT0814",119862.009829897,252280.742918751,203399.903389578,201519.256107192,54341.2859978151,243207.786583153,4810.53062538197,0
"FT0815",792498.991051379,3294219.19508663,70843.3767211502,68008.7000245115,90878.4910218909,85432.0492327516,79832.0371590812,89064.4458766374
"FT0816",161925.182617189,100744.031789259,147933.676602552,143457.740257263,314476.928410457,154995.099167702,187327.91244099,156819.757212231
"FT0817",1493122.72744878,185933.057601561,0,2889.12711474134,5259.85769847863,3897.72402706896,296187.628137557,289752.092011516
"FT0818",214240.988888888,695524.679896435,208675.425688478,0,0,332879.496485127,0,0
"FT0819",1501662.55231072,360728.257566482,119216.718923757,186005.11587136,90223.6832170322,98796.2405769077,187041.723225295,153651.422041426
"FT0820",122976.6530169,717064.128486188,13120.0142532131,38636.5278416225,0,55975.5388827992,24259.1396651158,19993.8798017111
"FT0821",156829.17451538,44632.0371446238,4286.04289736741,2174.41759736033,6547.94940978103,4041.26041544398,6159.23145494959,12977.3518682025
"FT0822",161670.817784002,742500.402566062,1479.18764837217,4805.49802684816,3805.98307167883,2385.01411755142,0,6588.46040107463
"FT0823",5919969.32243587,103490.995234422,170660.881520996,171803.828085179,104525.229784506,125719.890332945,74821.5482655361,110161.384088352
"FT0824",530535.191854882,117875.108318515,3227.9182216896,0,0,7983.32546874811,0,0
"FT0825",223257.063281249,0,0,0,0,13219.4921267164,72310.7506783446,57383.7057792398
